"date","vip_level","population","total_gem_used"
"2014-08-12","5","2073","77369595"
"2014-08-12","6","1320","61770120"
"2014-08-12","7","1421","79416565"
"2014-08-12","8","2202","195024360"
"2014-08-12","9","1188","171983573"
"2014-08-12","10","1295","287550275"
"2014-08-12","11","1224","445079675"
"2014-08-12","12","770","502444339"
"2014-08-12","13","509","929849729"
"2014-08-13","0","3013","861520"
"2014-08-13","1","1925","1915539"
"2014-08-13","2","20908","240498724"
"2014-08-13","3","9956","241583626"
"2014-08-13","4","1022","31269698"
"2014-08-13","5","2109","78374775"
"2014-08-13","6","1325","62222411"
"2014-08-13","7","1420","79044762"
"2014-08-13","8","2229","195789927"
"2014-08-13","9","1209","174354576"
"2014-08-13","10","1293","286827409"
"2014-08-13","11","1206","438825239"
"2014-08-13","12","770","501137893"
"2014-08-13","13","510","917880742"
"2014-08-14","0","2329","697674"
"2014-08-14","1","1507","1564649"
"2014-08-14","2","20251","235764442"
"2014-08-14","3","9806","237987377"
"2014-08-14","4","1026","31534668"
"2014-08-14","5","2102","78244601"
"2014-08-14","6","1302","61117103"
"2014-08-14","7","1442","80619914"
"2014-08-14","8","2210","194970975"
"2014-08-14","9","1196","172743554"
"2014-08-14","10","1279","284201893"
"2014-08-14","11","1206","439271976"
"2014-08-14","12","768","500342239"
"2014-08-14","13","504","918481556"
"2014-08-15","0","1895","591741"
"2014-08-15","1","1433","1621183"
"2014-08-15","2","19871","231366783"
"2014-08-15","3","9738","237551862"
"2014-08-15","4","1005","30748678"
"2014-08-15","5","2047","76605493"
"2014-08-15","6","1276","60074053"
"2014-08-15","7","1410","78405739"
"2014-08-15","8","2170","191141606"
"2014-08-15","9","1189","171766809"
"2014-08-15","10","1259","280352171"
"2014-08-15","11","1213","440712043"
"2014-08-15","12","767","499919903"
"2014-08-15","13","516","932381397"
"2014-08-16","0","2162","524163"
"2014-08-16","1","1464","1500673"
"2014-08-16","2","25215","250329283"
"2014-08-16","3","10007","241646537"
"2014-08-16","4","1022","31328600"
"2014-08-16","5","2079","77273630"
"2014-08-16","6","1316","61394916"
"2014-08-16","7","1460","81606179"
"2014-08-16","8","2213","195275280"
"2014-08-16","9","1206","173164335"
"2014-08-16","10","1283","285627664"
"2014-08-16","11","1224","445068166"
"2014-08-16","12","758","494778467"
"2014-08-16","13","508","918431802"
"2014-08-17","0","2233","574331"
"2014-08-17","1","1458","1512654"
"2014-08-17","2","24132","246374637"
"2014-08-17","3","10011","243812160"
"2014-08-17","4","1026","31150779"
"2014-08-17","5","2090","77993933"
"2014-08-17","6","1316","61871371"
"2014-08-17","7","1449","80653277"
"2014-08-17","8","2184","192827884"
"2014-08-17","9","1184","171070371"
"2014-08-17","10","1261","279811558"
"2014-08-17","11","1229","445727521"
"2014-08-17","12","759","495790140"
"2014-08-17","13","504","917026631"
"2014-08-18","0","3189","711305"
"2014-08-18","1","1685","1755775"
"2014-08-18","2","25200","254048815"
"2014-08-18","3","10008","243377974"
"2014-08-18","4","1016","31148276"
"2014-08-18","5","2129","79284135"
"2014-08-18","6","1322","61992929"
"2014-08-18","7","1472","82379500"
"2014-08-18","8","2194","194943330"
"2014-08-18","9","1206","174941034"
"2014-08-18","10","1276","284263456"
"2014-08-18","11","1229","446117329"
"2014-08-18","12","772","502725270"
"2014-08-18","13","518","927331133"
"2014-08-19","0","2272","690114"
"2014-08-19","1","1585","1648114"
"2014-08-19","2","23032","243550917"
"2014-08-19","3","9836","240712215"
"2014-08-19","4","1022","31593780"
"2014-08-19","5","2095","78471487"
"2014-08-19","6","1329","62648781"
"2014-08-19","7","1435","80494277"
"2014-08-19","8","2203","195915807"
"2014-08-19","9","1184","171957262"
"2014-08-19","10","1272","284188654"
"2014-08-19","11","1225","446243168"
"2014-08-19","12","772","503631922"
"2014-08-19","13","516","926028887"
"2014-08-20","0","4200","645018"
"2014-08-20","1","2062","1606291"
"2014-08-20","2","19818","232834801"
"2014-08-20","3","9674","238983102"
"2014-08-20","4","970","30389710"
"2014-08-20","5","2108","79589552"
"2014-08-20","6","1301","61645593"
"2014-08-20","7","1415","79929709"
"2014-08-20","8","2160","193186294"
"2014-08-20","9","1190","172737722"
"2014-08-20","10","1270","284237096"
"2014-08-20","11","1204","438166905"
"2014-08-20","12","764","498351772"
"2014-08-20","13","508","922135747"
"2014-08-21","0","2588","658759"
"2014-08-21","1","1711","1621429"
"2014-08-21","2","19780","232892076"
"2014-08-21","3","9653","240635203"
"2014-08-21","4","979","30368123"
"2014-08-21","5","2046","77857114"
"2014-08-21","6","1263","60549518"
"2014-08-21","7","1414","80557930"
"2014-08-21","8","2173","194415908"
"2014-08-21","9","1162","169598779"
"2014-08-21","10","1284","287076114"
"2014-08-21","11","1192","436374221"
"2014-08-21","12","776","506701716"
"2014-08-21","13","520","944923430"
"2014-08-22","0","2208","688008"
"2014-08-22","1","1446","1546624"
"2014-08-22","2","19302","230951571"
"2014-08-22","3","9562","238771502"
"2014-08-22","4","964","30071608"
"2014-08-22","5","2031","77931153"
"2014-08-22","6","1303","61951739"
"2014-08-22","7","1385","78551327"
"2014-08-22","8","2139","191434891"
"2014-08-22","9","1167","170434304"
"2014-08-22","10","1283","286837713"
"2014-08-22","11","1205","439813030"
"2014-08-22","12","765","498814948"
"2014-08-22","13","516","934519189"
"2014-08-23","0","2233","600448"
"2014-08-23","1","1718","1600696"
"2014-08-23","2","19494","230654284"
"2014-08-23","3","9627","240019793"
"2014-08-23","4","975","30129139"
"2014-08-23","5","2031","77629816"
"2014-08-23","6","1277","60551769"
"2014-08-23","7","1389","78429982"
"2014-08-23","8","2132","191383126"
"2014-08-23","9","1164","169491337"
"2014-08-23","10","1261","282023529"
"2014-08-23","11","1199","436355452"
"2014-08-23","12","772","502637146"
"2014-08-23","13","514","920380342"
"2014-08-24","0","1931","565067"
"2014-08-24","1","1524","1640193"
"2014-08-24","2","19479","230142289"
"2014-08-24","3","9480","237304828"
"2014-08-24","4","966","30273299"
"2014-08-24","5","2016","77151110"
"2014-08-24","6","1271","60440262"
"2014-08-24","7","1391","78876613"
"2014-08-24","8","2103","188227404"
"2014-08-24","9","1167","169811619"
"2014-08-24","10","1257","280928391"
"2014-08-24","11","1198","436989998"
"2014-08-24","12","765","498352288"
"2014-08-24","13","514","918242278"
"2014-08-25","0","1901","672259"
"2014-08-25","1","1617","1864046"
"2014-08-25","2","21241","237767927"
"2014-08-25","3","9641","240772441"
"2014-08-25","4","965","30291720"
"2014-08-25","5","2031","78173120"
"2014-08-25","6","1295","62334031"
"2014-08-25","7","1411","79727059"
"2014-08-25","8","2150","193408602"
"2014-08-25","9","1191","174193130"
"2014-08-25","10","1272","284905396"
"2014-08-25","11","1215","442325970"
"2014-08-25","12","779","507385757"
